,Rank,Player Team (Bye),POS,Yahoo,FFC,Fantrax,AVG
0,1,Saquon Barkley NYG (11),RB1,1.0,1.0,1,1.0
1,2,Alvin Kamara NO (9),RB2,2.0,2.0,3,2.3
2,3,Christian McCaffrey CAR (7),RB3,3.0,3.0,2,2.7
3,4,Ezekiel Elliott DAL (8),RB4,4.0,4.0,4,4.0
4,5,David Johnson HOU (10),RB5,6.0,7.0,5,6.0
5,6,DeAndre Hopkins ARI (12),WR1,5.0,10.0,6,7.0
6,7,Davante Adams GB (11),WR2,8.0,5.0,8,7.0
7,8,James Conner PIT (7),RB6,9.0,6.0,9,8.0
8,9,Le'Veon Bell NYJ (4),RB7,10.0,9.0,7,8.7
9,10,Nick Chubb CLE (7),RB8,7.0,8.0,15,10.0
10,11,Michael Thomas NO (9),WR3,12.0,12.0,10,11.3
11,12,Julio Jones ATL (9),WR4,11.0,11.0,12,11.3
12,13,Odell Beckham Jr. CLE (7),WR5,13.0,15.0,13,13.7
13,14,Todd Gurley ATL (9),RB9,19.0,16.0,11,15.3
14,15,Dalvin Cook MIN (12),RB10,15.0,13.0,20,16.0
15,16,JuJu Smith-Schuster PIT (7),WR6,17.0,14.0,17,16.0
16,17,Travis Kelce KC (12),TE1,14.0,17.0,18,16.3
17,18,Joe Mixon CIN (9),RB11,18.0,19.0,14,17.0
18,19,Tyreek Hill KC (12),WR7,20.0,18.0,16,18.0
19,20,Patrick Mahomes KC (12),QB1,16.0,20.0,19,18.3
20,21,Mike Evans TB (7),WR8,22.0,22.0,22,22.0
21,22,Antonio Brown,WR9,23.0,23.0,21,22.3
22,23,Keenan Allen LAC (12),WR10,25.0,26.0,23,24.7
23,24,Adam Thielen MIN (12),WR11,28.0,25.0,24,25.7
24,25,George Kittle SF (4),TE2,21.0,32.0,25,26.0
25,26,Leonard Fournette JAC (10),RB12,32.0,21.0,26,26.3
26,27,Damien Williams KC (12),RB13,24.0,31.0,27,27.3
27,28,Aaron Jones GB (11),RB14,27.0,27.0,30,28.0
28,29,Kerryon Johnson DET (5),RB15,29.0,28.0,29,28.7
29,30,Zach Ertz PHI (10),TE3,26.0,36.0,28,30.0
30,31,Devonta Freeman,RB16,31.0,29.0,33,31.0
31,32,Amari Cooper DAL (8),WR12,30.0,35.0,32,32.3
32,33,Stefon Diggs BUF (6),WR13,33.0,34.0,34,33.7
33,34,Derrick Henry TEN (11),RB17,34.0,41.0,37,37.3
34,35,Josh Jacobs LV (),RB18,45.0,33.0,36,38.0
35,36,Marlon Mack IND (6),RB19,35.0,44.0,35,38.0
36,37,Chris Carson SEA (11),RB20,51.0,24.0,40,38.3
37,38,Brandin Cooks HOU (10),WR14,40.0,39.0,38,39.0
