C/A,YDS,TD,INT,CAR,YDS,TD,REC,YDS,TD,TAR,%ROST,+/-,TOT,AVG
287/453,3375,27,10,168,974,6,0,0,0,0,99.8,0,353.4,23.6
0/0,0,0,0,242,1095,9,89,731,3,107,99.9,0,338.5,24.2
361/551,4508,32,9,62,282,3,0,0,0,0,99.9,0,331,22.1
340/515,4032,25,11,87,520,4,0,0,0,0,99.7,0,307.1,20.5
0/0,0,0,0,0,0,0,115,1349,9,151,99.9,0,301,20.1
0/0,0,0,0,255,1097,11,64,544,1,80,99.8,0,299.9,21.4
353/545,4373,26,11,49,248,4,0,0,0,0,96.2,0.2,298.7,19.9
304/473,3758,29,8,73,397,2,0,0,0,0,98.4,0.1,296.8,19.8
0/0,0,0,0,273,1207,10,57,456,2,73,99.9,0,292.6,20.9
0/0,0,0,0,261,1180,9,57,454,3,76,99.9,0,291,20.8
342/532,3722,25,12,86,464,3,0,0,0,0,99,0.1,288.2,19.2
295/495,3492,20,11,102,579,7,0,0,0,0,93,0.9,285.9,19.1
367/593,4495,29,10,25,28,1,0,0,0,0,87.8,3.1,281.8,18.8
0/0,0,0,0,192,868,7,78,578,3,97,99.9,0,279.9,20
375/530,4122,30,9,21,12,1,0,0,0,0,92.5,1,273,18.2
357/554,3967,26,9,55,215,2,0,0,0,0,91.1,0.6,270,18
0/0,0,0,0,4,23,0,99,1202,8,149,99.9,0,268.4,17.9
393/606,4553,25,13,32,125,1,0,0,0,0,85.7,2.2,268.3,17.9
341/538,3923,26,8,43,206,1,0,0,0,0,90.5,1.3,266.3,17.8
347/543,4340,25,11,33,124,1,0,0,0,0,50.3,5.5,264.5,17.6
0/0,0,0,0,2,10,0,94,1317,6,146,99.9,0,262.9,17.5
0/0,0,0,0,2,6,0,92,1148,9,128,99.9,0,262.8,17.5
0/0,0,0,0,0,0,0,95,1212,8,145,99.9,0,261.7,18.7
0/0,0,0,0,0,0,0,93,1267,7,137,99.7,0.1,260.5,17.4
0/0,0,0,0,0,0,0,81,1233,9,143,99.7,0,255.6,17
0/0,0,0,0,215,959,11,45,370,2,59,99.7,0,255.6,18.3
335/532,3692,25,13,52,268,2,0,0,0,0,57.6,2.4,253.8,16.9
0/0,0,0,0,290,1319,11,25,218,1,31,99.8,0,251,17.9
364/568,4281,23,13,31,65,2,0,0,0,0,31.9,6.2,249.9,16.7
0/0,0,0,0,11,66,0,79,1124,8,122,99.9,0,248.2,16.5
0/0,0,0,0,211,986,8,52,387,2,69,99.1,0.2,247.9,17.7
0/0,0,0,0,5,17,0,88,1111,7,121,99.7,0,246.4,16.4
0/0,0,0,0,183,803,5,63,607,3,80,99.2,0.1,245.8,17.6
291/436,3595,23,11,57,203,2,0,0,0,0,51.6,3.5,242.4,16.2
333/523,3806,26,12,27,73,1,0,0,0,0,43.7,3.9,240.4,17.2
0/0,0,0,0,224,926,5,63,465,1,83,99.5,0.1,236.9,16.9
319/470,3780,25,13,45,74,2,0,0,0,0,37.4,3.6,236.6,15.8
340/544,3853,18,10,59,308,1,0,0,0,0,7.4,0.7,235.7,15.7
0/0,0,0,0,179,801,8,46,375,4,61,94.8,1.2,234.8,16.8
317/509,3734,24,16,32,130,2,0,0,0,0,26.4,4.4,232.8,15.5
0/0,0,0,0,4,25,0,79,1112,6,120,98.8,0.2,231.7,15.4
333/493,3741,22,9,33,93,2,0,0,0,0,22.2,3,231.2,15.4
324/522,3781,19,14,53,252,2,0,0,0,0,4.6,0.1,229.8,16.4
0/0,0,0,0,264,1240,9,27,214,1,36,99.8,0.1,229.4,16.4
0/0,0,0,0,0,0,0,67,1164,7,117,99.3,0.1,227.2,15.1
0/0,0,0,0,7,51,0,86,1108,4,129,97.9,0.4,226.9,15.1
0/0,0,0,0,220,973,6,44,379,2,57,98.1,0,224.5,16
0/0,0,0,0,250,1103,7,37,286,1,47,99.3,0,223.7,16
0/0,0,0,0,2,12,0,76,1092,6,117,99.6,0,223.6,14.9
340/526,3938,24,15,16,30,0,0,0,0,0,10.6,1.5,222.1,14.8
0/0,0,0,0,223,884,3,60,436,2,73,98.1,0.1,221.9,15.8
0/0,0,0,0,263,1123,7,35,276,1,45,99.2,0,221.6,15.8
0/0,0,0,0,2,12,0,74,1073,7,126,98,0.2,221.1,14.7
0/0,0,0,0,4,27,0,74,1002,7,104,99.2,0,219.7,14.6
